Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0431076595032378,1.29740138560759,0.0043028385780374,0,0,0,2.87751988334455,0.0107502811685928,0.000244284946568019,6.19392890213895E-05,0.0132005727339374,8.08553868796547E-06,0.00641753469285797,0,0,0,0,0,0,package://hopejr/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hopejr/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_shoulder_link,-0.00366633048575471,0.073078726035871,-0.000196473271182995,0,0,0,0.224603109976489,0.000101500501243235,-6.82749857596955E-06,-2.78106088911714E-08,8.3364414008642E-05,2.54260768286728E-07,0.000108145604197816,0,0,0,0,0,0,package://hopejr/meshes/right_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hopejr/meshes/right_shoulder_link.STL,,right_shoulder_pitch_link-1,Origin_right_shoulder_joint,Axis_right_shoulder_joint,right_shoulder_joint,revolute,-0.13394,0.048309,1.2772,0,-1.5168,0,base_link,0,1,0,1,1,-1.57,1.82,,,,,,,,
right_upper_arm_link,-0.0766992737061696,0.0134044028807087,0.000326638414126834,0,0,0,0.311238426775694,0.000138970067331875,3.48842401604284E-05,3.86355381129112E-05,0.000383694121674623,-3.99816700692933E-06,0.000295826495250162,0,0,0,0,0,0,package://hopejr/meshes/right_upper_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hopejr/meshes/right_upper_arm_link.STL,,right_upper_arm_link-1,Origin_right_upper_arm_joint,Axis_right_upper_arm_joint,right_upper_arm_joint,revolute,0,0.1061,0,-0.0081422,0.00061707,0.15128,right_shoulder_link,0.053948,0,-0.99854,1,1,0,2.7,,,,,,,,
right_upper_elbow_link,0.00639564820821042,0.0872557862402017,0.00207119892119237,0,0,0,0.174621944576985,0.000144829041674728,-4.96321685692095E-05,1.01056667538789E-07,6.78203462105185E-05,-8.60250275986942E-07,0.000196949983254397,0,0,0,0,0,0,package://hopejr/meshes/right_upper_elbow_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hopejr/meshes/right_upper_elbow_link.STL,,right_upper_elbow_link-1,Origin_right_upper_elbow_joint,Axis_right_upper_elbow_joint,right_upper_elbow_joint,revolute,-0.08378,0.012813,-0.0049334,-1.7223,-1.5168,3.1416,right_upper_arm_link,0,1,0,1,1,-1.05,0.815,,,,,,,,
right_lower_elbow_link,-0.0384012442069543,-0.00785851125130121,0.0058790671135284,0,0,0,0.151904197101513,3.84864381691016E-05,1.17654297661299E-06,6.18266537995094E-06,6.38351264784852E-05,2.40045758350238E-06,5.79465269689682E-05,0,0,0,0,0,0,package://hopejr/meshes/right_lower_elbow_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hopejr/meshes/right_lower_elbow_link.STL,,right_lower_elbow_link-1,Origin_right_lower_elbow_joint,Axis_right_lower_elbow_joint,right_lower_elbow_joint,revolute,0.0382,0.1124,0,-1.964,0.088127,-1.5956,right_upper_elbow_link,0.088013,0.9201,0.38166,1,1,0,2.1,,,,,,,,
right_forearm_link,-0.0881846820679997,0.00476206023093534,0.0158111800466809,0,0,0,0.133069954449835,3.84772229927692E-05,2.20525535400294E-06,2.20248819510205E-06,7.37301593221685E-05,-2.37825033058667E-06,5.58558134677147E-05,0,0,0,0,0,0,package://hopejr/meshes/right_forearm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hopejr/meshes/right_forearm_link.STL,,right_forearm_link-1,Origin_right_forearm_joint,Axis_right_forearm_joint,right_forearm_joint,revolute,-0.026953,-0.0021421,0.0061395,2.037,0.27473,-0.19155,right_lower_elbow_link,0.98064,-0.072431,-0.18191,1,1,-2.5,2,,,,,,,,
wrist_pitch_link,-0.000976347199643096,-0.000999459523875756,0.009485362992665,0,0,0,0.02630660356343,1.20804580477078E-05,-4.86170177587396E-10,5.17724260973255E-07,1.11915298931713E-05,1.23170082015224E-10,1.48646799413629E-05,0,0,0,0,0,0,package://hopejr/meshes/wrist_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hopejr/meshes/wrist_pitch_link.STL,,wrist_pitch_link-1,Origin_wrist_pitch_joint,Axis_wrist_pitch_joint,wrist_pitch_joint,revolute,-0.12457,0.0092005,0.023108,-0.57749,-1.3519,0.51486,right_forearm_link,0,1,0,1,1,-0.22,0.22,,,,,,,,
right_tool_link,0.0158573641026411,-0.0334895053506801,0.00140899683962292,0,0,0,0.109165571976926,4.79249281327563E-05,-9.89242965029899E-06,8.73272889154573E-08,3.468887871489E-05,3.20459441768457E-08,4.89192832751407E-05,0,0,0,0,0,0,package://hopejr/meshes/right_tool_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hopejr/meshes/right_tool_link.STL,,tool_link-3,Origin_right_tool_joint,Axis_right_tool_joint,right_tool_joint,revolute,0,-0.001,0.03,-1.5541,-0.090774,-3.1327,wrist_pitch_link,0.99584,0.090485,-0.010374,1,1,-1.5,1.5,,,,,,,,
